,region,age,2020
602,09 Gotland county,23 years,167.4
603,09 Gotland county,24 years,186.7
604,09 Gotland county,25 years,211.2
605,09 Gotland county,26 years,220.8
606,09 Gotland county,27 years,237.3
607,09 Gotland county,28 years,250.6
608,09 Gotland county,29 years,264.9
609,09 Gotland county,30 years,267.2
610,09 Gotland county,31 years,273.6
611,09 Gotland county,32 years,292.4
612,09 Gotland county,33 years,296.9
613,09 Gotland county,34 years,289.4
614,09 Gotland county,35 years,303.0
615,09 Gotland county,36 years,327.4
616,09 Gotland county,37 years,326.8
617,09 Gotland county,38 years,322.8
618,09 Gotland county,39 years,332.3
619,09 Gotland county,40 years,352.0
620,09 Gotland county,41 years,347.4
621,09 Gotland county,42 years,357.0
622,09 Gotland county,43 years,358.0
623,09 Gotland county,44 years,362.7
624,09 Gotland county,45 years,362.6
625,09 Gotland county,46 years,368.7
626,09 Gotland county,47 years,388.6
627,09 Gotland county,48 years,379.0
628,09 Gotland county,49 years,367.8
629,09 Gotland county,50 years,368.0
630,09 Gotland county,51 years,357.8
631,09 Gotland county,52 years,363.2
632,09 Gotland county,53 years,360.1
633,09 Gotland county,54 years,367.3
634,09 Gotland county,55 years,353.8
635,09 Gotland county,56 years,360.2
636,09 Gotland county,57 years,344.0
637,09 Gotland county,58 years,340.8
638,09 Gotland county,59 years,335.4
639,09 Gotland county,60 years,347.3
640,09 Gotland county,61 years,332.7
641,09 Gotland county,62 years,332.9
642,09 Gotland county,63 years,339.5
643,09 Gotland county,64 years,339.3
644,09 Gotland county,65 years,337.9
645,09 Gotland county,66 years,336.3
646,09 Gotland county,67 years,330.2
647,09 Gotland county,68 years,299.2
648,09 Gotland county,69 years,291.4
649,09 Gotland county,70 years,268.5
650,09 Gotland county,71 years,262.2
651,09 Gotland county,72 years,247.4
652,09 Gotland county,73 years,249.4
653,09 Gotland county,74 years,236.6
654,09 Gotland county,75 years,229.8
655,09 Gotland county,76 years,238.2
656,09 Gotland county,77 years,226.8
657,09 Gotland county,78 years,224.2
658,09 Gotland county,79 years,204.9
659,09 Gotland county,80 years,205.5
660,09 Gotland county,81 years,209.0
661,09 Gotland county,82 years,194.5
662,09 Gotland county,83 years,211.2
663,09 Gotland county,84 years,206.2
664,09 Gotland county,85 years,194.5
665,09 Gotland county,86 years,187.6
666,09 Gotland county,87 years,188.5
667,09 Gotland county,88 years,196.6
668,09 Gotland county,89 years,194.9
669,09 Gotland county,90 years,188.7
670,09 Gotland county,91 years,182.3
671,09 Gotland county,92 years,177.7
672,09 Gotland county,93 years,191.1
673,09 Gotland county,94 years,183.4
674,09 Gotland county,95 years,186.0
675,09 Gotland county,96 years,191.9
676,09 Gotland county,97 years,185.0
677,09 Gotland county,98 years,194.5
678,09 Gotland county,99 years,170.9
679,09 Gotland county,100+ years,196.7
680,10 Blekinge county,16 years,5.7
681,10 Blekinge county,17 years,11.0
682,10 Blekinge county,18 years,21.9
683,10 Blekinge county,19 years,60.7
684,10 Blekinge county,20 years,120.8
685,10 Blekinge county,21 years,143.1
686,10 Blekinge county,22 years,157.1
687,10 Blekinge county,23 years,180.5
688,10 Blekinge county,24 years,199.8
689,10 Blekinge county,25 years,226.4
690,10 Blekinge county,26 years,238.3
691,10 Blekinge county,27 years,258.3
692,10 Blekinge county,28 years,272.5
693,10 Blekinge county,29 years,283.4
694,10 Blekinge county,30 years,286.8
695,10 Blekinge county,31 years,291.1
696,10 Blekinge county,32 years,294.7
697,10 Blekinge county,33 years,295.3
698,10 Blekinge county,34 years,309.7
699,10 Blekinge county,35 years,311.5
700,10 Blekinge county,36 years,321.2
701,10 Blekinge county,37 years,331.0
702,10 Blekinge county,38 years,343.5
703,10 Blekinge county,39 years,349.9
704,10 Blekinge county,40 years,357.1
705,10 Blekinge county,41 years,367.7
706,10 Blekinge county,42 years,372.9
707,10 Blekinge county,43 years,384.0
708,10 Blekinge county,44 years,391.3
709,10 Blekinge county,45 years,390.8
710,10 Blekinge county,46 years,391.3
711,10 Blekinge county,47 years,406.2
712,10 Blekinge county,48 years,414.8
713,10 Blekinge county,49 years,406.5
714,10 Blekinge county,50 years,408.6
715,10 Blekinge county,51 years,408.2
716,10 Blekinge county,52 years,400.4
717,10 Blekinge county,53 years,409.7
718,10 Blekinge county,54 years,406.9
719,10 Blekinge county,55 years,395.8
720,10 Blekinge county,56 years,393.6
721,10 Blekinge county,57 years,380.0
722,10 Blekinge county,58 years,378.2
723,10 Blekinge county,59 years,364.9
724,10 Blekinge county,60 years,370.8
725,10 Blekinge county,61 years,370.1
726,10 Blekinge county,62 years,358.2
727,10 Blekinge county,63 years,357.2
728,10 Blekinge county,64 years,346.9
729,10 Blekinge county,65 years,349.7
730,10 Blekinge county,66 years,334.0
731,10 Blekinge county,67 years,316.6
732,10 Blekinge county,68 years,309.1
733,10 Blekinge county,69 years,299.6
734,10 Blekinge county,70 years,271.3
735,10 Blekinge county,71 years,250.9
736,10 Blekinge county,72 years,245.9
737,10 Blekinge county,73 years,248.4
738,10 Blekinge county,74 years,237.0
739,10 Blekinge county,75 years,235.8
740,10 Blekinge county,76 years,229.7
741,10 Blekinge county,77 years,223.3
742,10 Blekinge county,78 years,226.7
743,10 Blekinge county,79 years,215.2
744,10 Blekinge county,80 years,203.6
745,10 Blekinge county,81 years,209.4
746,10 Blekinge county,82 years,205.9
747,10 Blekinge county,83 years,210.3
748,10 Blekinge county,84 years,201.7
749,10 Blekinge county,85 years,203.0
750,10 Blekinge county,86 years,200.2
751,10 Blekinge county,87 years,200.2
752,10 Blekinge county,88 years,196.7
753,10 Blekinge county,89 years,193.6
754,10 Blekinge county,90 years,200.6
755,10 Blekinge county,91 years,191.4
756,10 Blekinge county,92 years,190.5
757,10 Blekinge county,93 years,196.4
758,10 Blekinge county,94 years,186.8
759,10 Blekinge county,95 years,179.9
760,10 Blekinge county,96 years,173.7
761,10 Blekinge county,97 years,185.9
762,10 Blekinge county,98 years,203.3
763,10 Blekinge county,99 years,168.2
764,10 Blekinge county,100+ years,177.0
765,12 Skåne county,16 years,5.0
766,12 Skåne county,17 years,8.9
767,12 Skåne county,18 years,18.6
768,12 Skåne county,19 years,57.6
769,12 Skåne county,20 years,112.0
770,12 Skåne county,21 years,124.2
771,12 Skåne county,22 years,140.9
772,12 Skåne county,23 years,156.8
773,12 Skåne county,24 years,180.6
774,12 Skåne county,25 years,204.8
775,12 Skåne county,26 years,230.4
776,12 Skåne county,27 years,245.9
777,12 Skåne county,28 years,262.6
778,12 Skåne county,29 years,277.2
779,12 Skåne county,30 years,287.0
780,12 Skåne county,31 years,292.4
781,12 Skåne county,32 years,302.2
782,12 Skåne county,33 years,320.4
783,12 Skåne county,34 years,316.7
784,12 Skåne county,35 years,328.2
785,12 Skåne county,36 years,337.2
786,12 Skåne county,37 years,343.3
787,12 Skåne county,38 years,357.0
788,12 Skåne county,39 years,366.9
789,12 Skåne county,40 years,376.3
790,12 Skåne county,41 years,392.2
791,12 Skåne county,42 years,397.0
792,12 Skåne county,43 years,404.9
793,12 Skåne county,44 years,409.2
794,12 Skåne county,45 years,420.2
795,12 Skåne county,46 years,427.6
796,12 Skåne county,47 years,434.5
797,12 Skåne county,48 years,432.5
798,12 Skåne county,49 years,440.1
799,12 Skåne county,50 years,425.8
800,12 Skåne county,51 years,426.8
801,12 Skåne county,52 years,422.0
802,12 Skåne county,53 years,428.7
803,12 Skåne county,54 years,419.5
804,12 Skåne county,55 years,418.0
805,12 Skåne county,56 years,406.4
806,12 Skåne county,57 years,403.7
807,12 Skåne county,58 years,390.2
808,12 Skåne county,59 years,392.8
809,12 Skåne county,60 years,386.4
810,12 Skåne county,61 years,376.5
811,12 Skåne county,62 years,371.0
812,12 Skåne county,63 years,367.9
813,12 Skåne county,64 years,355.8
814,12 Skåne county,65 years,363.4
815,12 Skåne county,66 years,339.9
816,12 Skåne county,67 years,335.8
817,12 Skåne county,68 years,320.9
818,12 Skåne county,69 years,310.8
819,12 Skåne county,70 years,292.3
820,12 Skåne county,71 years,278.5
821,12 Skåne county,72 years,267.3
822,12 Skåne county,73 years,261.8
823,12 Skåne county,74 years,255.8
824,12 Skåne county,75 years,247.4
825,12 Skåne county,76 years,246.3
826,12 Skåne county,77 years,239.4
827,12 Skåne county,78 years,239.6
828,12 Skåne county,79 years,232.3
829,12 Skåne county,80 years,224.7
830,12 Skåne county,81 years,222.3
831,12 Skåne county,82 years,217.5
832,12 Skåne county,83 years,220.9
833,12 Skåne county,84 years,218.7
834,12 Skåne county,85 years,214.7
835,12 Skåne county,86 years,207.1
836,12 Skåne county,87 years,207.3
837,12 Skåne county,88 years,211.2
838,12 Skåne county,89 years,208.7
839,12 Skåne county,90 years,203.5
840,12 Skåne county,91 years,202.2
841,12 Skåne county,92 years,203.4
842,12 Skåne county,93 years,199.3
843,12 Skåne county,94 years,194.0
844,12 Skåne county,95 years,195.2
845,12 Skåne county,96 years,192.1
846,12 Skåne county,97 years,188.4
847,12 Skåne county,98 years,186.4
848,12 Skåne county,99 years,184.2
849,12 Skåne county,100+ years,187.9
850,13 Halland county,16 years,6.8
851,13 Halland county,17 years,13.6
852,13 Halland county,18 years,26.9
853,13 Halland county,19 years,74.8
854,13 Halland county,20 years,144.8
855,13 Halland county,21 years,161.4
856,13 Halland county,22 years,177.0
857,13 Halland county,23 years,191.1
858,13 Halland county,24 years,216.4
859,13 Halland county,25 years,235.6
860,13 Halland county,26 years,250.2
861,13 Halland county,27 years,264.4
862,13 Halland county,28 years,279.8
863,13 Halland county,29 years,284.0
864,13 Halland county,30 years,299.4
865,13 Halland county,31 years,306.0
866,13 Halland county,32 years,318.8
867,13 Halland county,33 years,325.8
868,13 Halland county,34 years,330.6
869,13 Halland county,35 years,347.5
870,13 Halland county,36 years,356.3
871,13 Halland county,37 years,365.2
872,13 Halland county,38 years,374.6
873,13 Halland county,39 years,389.7
874,13 Halland county,40 years,399.0
875,13 Halland county,41 years,399.5
876,13 Halland county,42 years,417.9
877,13 Halland county,43 years,421.2
878,13 Halland county,44 years,429.8
879,13 Halland county,45 years,431.0
880,13 Halland county,46 years,444.9
881,13 Halland county,47 years,437.9
882,13 Halland county,48 years,452.6
883,13 Halland county,49 years,450.0
884,13 Halland county,50 years,442.5
885,13 Halland county,51 years,449.4
886,13 Halland county,52 years,438.9
887,13 Halland county,53 years,449.3
888,13 Halland county,54 years,431.5
889,13 Halland county,55 years,428.7
890,13 Halland county,56 years,426.4
891,13 Halland county,57 years,419.9
892,13 Halland county,58 years,407.5
893,13 Halland county,59 years,392.0
894,13 Halland county,60 years,390.2
895,13 Halland county,61 years,395.8
896,13 Halland county,62 years,397.4
897,13 Halland county,63 years,378.9
898,13 Halland county,64 years,364.4
899,13 Halland county,65 years,364.5
900,13 Halland county,66 years,358.0
901,13 Halland county,67 years,345.2
902,13 Halland county,68 years,331.1
903,13 Halland county,69 years,322.1
904,13 Halland county,70 years,298.4
905,13 Halland county,71 years,279.8
906,13 Halland county,72 years,276.3
907,13 Halland county,73 years,265.1
908,13 Halland county,74 years,261.0
909,13 Halland county,75 years,254.9
910,13 Halland county,76 years,248.0
911,13 Halland county,77 years,244.5
912,13 Halland county,78 years,239.2
913,13 Halland county,79 years,233.5
914,13 Halland county,80 years,224.5
915,13 Halland county,81 years,219.3
916,13 Halland county,82 years,217.4
917,13 Halland county,83 years,221.4
918,13 Halland county,84 years,218.1
919,13 Halland county,85 years,213.3
920,13 Halland county,86 years,209.6
921,13 Halland county,87 years,204.9
922,13 Halland county,88 years,207.9
923,13 Halland county,89 years,201.6
924,13 Halland county,90 years,200.8
925,13 Halland county,91 years,198.2
926,13 Halland county,92 years,190.8
927,13 Halland county,93 years,188.3
928,13 Halland county,94 years,189.7
929,13 Halland county,95 years,200.3
930,13 Halland county,96 years,180.8
931,13 Halland county,97 years,180.6
932,13 Halland county,98 years,183.3
933,13 Halland county,99 years,182.9
934,13 Halland county,100+ years,174.4
935,14 Västra Götaland county,16 years,5.1
936,14 Västra Götaland county,17 years,10.9
937,14 Västra Götaland county,18 years,21.0
938,14 Västra Götaland county,19 years,66.5
939,14 Västra Götaland county,20 years,131.6
940,14 Västra Götaland county,21 years,146.7
941,14 Västra Götaland county,22 years,161.8
942,14 Västra Götaland county,23 years,182.1
943,14 Västra Götaland county,24 years,202.3
944,14 Västra Götaland county,25 years,224.0
945,14 Västra Götaland county,26 years,246.3
946,14 Västra Götaland county,27 years,266.2
947,14 Västra Götaland county,28 years,282.7
948,14 Västra Götaland county,29 years,294.4
949,14 Västra Götaland county,30 years,303.2
950,14 Västra Götaland county,31 years,311.5
951,14 Västra Götaland county,32 years,317.9
952,14 Västra Götaland county,33 years,326.2
953,14 Västra Götaland county,34 years,334.6
954,14 Västra Götaland county,35 years,339.5
955,14 Västra Götaland county,36 years,347.2
956,14 Västra Götaland county,37 years,358.0
957,14 Västra Götaland county,38 years,365.5
958,14 Västra Götaland county,39 years,378.5
959,14 Västra Götaland county,40 years,383.2
960,14 Västra Götaland county,41 years,393.4
961,14 Västra Götaland county,42 years,403.2
962,14 Västra Götaland county,43 years,409.4
963,14 Västra Götaland county,44 years,419.7
964,14 Västra Götaland county,45 years,426.6
965,14 Västra Götaland county,46 years,427.5
966,14 Västra Götaland county,47 years,433.2
967,14 Västra Götaland county,48 years,432.8
968,14 Västra Götaland county,49 years,439.4
969,14 Västra Götaland county,50 years,429.1
970,14 Västra Götaland county,51 years,428.1
971,14 Västra Götaland county,52 years,429.0
972,14 Västra Götaland county,53 years,428.6
973,14 Västra Götaland county,54 years,428.2
974,14 Västra Götaland county,55 years,424.6
975,14 Västra Götaland county,56 years,419.1
976,14 Västra Götaland county,57 years,412.7
977,14 Västra Götaland county,58 years,409.8
978,14 Västra Götaland county,59 years,406.0
979,14 Västra Götaland county,60 years,392.3
980,14 Västra Götaland county,61 years,386.2
981,14 Västra Götaland county,62 years,391.2
982,14 Västra Götaland county,63 years,378.8
983,14 Västra Götaland county,64 years,372.2
984,14 Västra Götaland county,65 years,366.2
985,14 Västra Götaland county,66 years,352.0
986,14 Västra Götaland county,67 years,343.4
987,14 Västra Götaland county,68 years,325.4
988,14 Västra Götaland county,69 years,319.3
989,14 Västra Götaland county,70 years,299.3
990,14 Västra Götaland county,71 years,277.3
991,14 Västra Götaland county,72 years,269.1
992,14 Västra Götaland county,73 years,264.0
993,14 Västra Götaland county,74 years,256.7
994,14 Västra Götaland county,75 years,252.1
995,14 Västra Götaland county,76 years,244.3
996,14 Västra Götaland county,77 years,241.5
997,14 Västra Götaland county,78 years,238.8
998,14 Västra Götaland county,79 years,234.1
999,14 Västra Götaland county,80 years,224.3
1000,14 Västra Götaland county,81 years,219.9
1001,14 Västra Götaland county,82 years,218.4
1002,14 Västra Götaland county,83 years,219.6
1003,14 Västra Götaland county,84 years,218.1
1004,14 Västra Götaland county,85 years,213.1
1005,14 Västra Götaland county,86 years,210.7
1006,14 Västra Götaland county,87 years,207.1
1007,14 Västra Götaland county,88 years,205.5
1008,14 Västra Götaland county,89 years,201.8
1009,14 Västra Götaland county,90 years,201.2
1010,14 Västra Götaland county,91 years,201.9
1011,14 Västra Götaland county,92 years,199.4
1012,14 Västra Götaland county,93 years,196.0
1013,14 Västra Götaland county,94 years,194.5
1014,14 Västra Götaland county,95 years,191.0
1015,14 Västra Götaland county,96 years,198.3
1016,14 Västra Götaland county,97 years,180.8
1017,14 Västra Götaland county,98 years,190.5
1018,14 Västra Götaland county,99 years,179.5
1019,14 Västra Götaland county,100+ years,171.6
1020,17 Värmland county,16 years,4.1
1021,17 Värmland county,17 years,9.5
1022,17 Värmland county,18 years,18.8
1023,17 Värmland county,19 years,57.3
1024,17 Värmland county,20 years,122.0
1025,17 Värmland county,21 years,140.5
1026,17 Värmland county,22 years,153.8
1027,17 Värmland county,23 years,181.5
1028,17 Värmland county,24 years,199.1
1029,17 Värmland county,25 years,222.1
1030,17 Värmland county,26 years,242.0
1031,17 Värmland county,27 years,248.5
1032,17 Värmland county,28 years,263.6
1033,17 Värmland county,29 years,276.8
1034,17 Värmland county,30 years,287.8
1035,17 Värmland county,31 years,295.1
1036,17 Värmland county,32 years,302.8
1037,17 Värmland county,33 years,304.4
1038,17 Värmland county,34 years,313.2
1039,17 Värmland county,35 years,320.9
1040,17 Värmland county,36 years,321.2
1041,17 Värmland county,37 years,333.8
1042,17 Värmland county,38 years,339.7
1043,17 Värmland county,39 years,345.6
1044,17 Värmland county,40 years,360.7
1045,17 Värmland county,41 years,362.3
1046,17 Värmland county,42 years,369.4
1047,17 Värmland county,43 years,371.6
1048,17 Värmland county,44 years,384.9
1049,17 Värmland county,45 years,387.1
1050,17 Värmland county,46 years,390.9
1051,17 Värmland county,47 years,400.5
1052,17 Värmland county,48 years,394.5
1053,17 Värmland county,49 years,400.4
1054,17 Värmland county,50 years,401.1
1055,17 Värmland county,51 years,391.3
1056,17 Värmland county,52 years,394.8
1057,17 Värmland county,53 years,398.6
1058,17 Värmland county,54 years,383.8
1059,17 Värmland county,55 years,381.3
1060,17 Värmland county,56 years,382.7
1061,17 Värmland county,57 years,377.9
1062,17 Värmland county,58 years,373.0
1063,17 Värmland county,59 years,368.7
1064,17 Värmland county,60 years,369.0
1065,17 Värmland county,61 years,366.5
1066,17 Värmland county,62 years,363.0
1067,17 Värmland county,63 years,354.8
1068,17 Värmland county,64 years,350.9
1069,17 Värmland county,65 years,345.8
1070,17 Värmland county,66 years,337.7
1071,17 Värmland county,67 years,323.3
1072,17 Värmland county,68 years,309.9
1073,17 Värmland county,69 years,297.4
1074,17 Värmland county,70 years,275.7
1075,17 Värmland county,71 years,259.4
1076,17 Värmland county,72 years,254.7
1077,17 Värmland county,73 years,247.2
1078,17 Värmland county,74 years,245.5
1079,17 Värmland county,75 years,238.4
1080,17 Värmland county,76 years,232.1
1081,17 Värmland county,77 years,229.6
1082,17 Värmland county,78 years,227.0
1083,17 Värmland county,79 years,218.7
1084,17 Värmland county,80 years,217.9
1085,17 Värmland county,81 years,209.8
1086,17 Värmland county,82 years,214.8
1087,17 Värmland county,83 years,214.1
1088,17 Värmland county,84 years,211.4
1089,17 Värmland county,85 years,208.8
1090,17 Värmland county,86 years,204.6
1091,17 Värmland county,87 years,203.6
1092,17 Värmland county,88 years,203.1
1093,17 Värmland county,89 years,198.2
1094,17 Värmland county,90 years,195.9
1095,17 Värmland county,91 years,194.8
1096,17 Värmland county,92 years,194.1
1097,17 Värmland county,93 years,184.8
1098,17 Värmland county,94 years,193.1
1099,17 Värmland county,95 years,194.2
1100,17 Värmland county,96 years,195.2
1101,17 Värmland county,97 years,184.6
1102,17 Värmland county,98 years,179.5
1103,17 Värmland county,99 years,181.1
1104,17 Värmland county,100+ years,163.0
1105,18 Örebro county,16 years,5.8
1106,18 Örebro county,17 years,10.0
1107,18 Örebro county,18 years,19.7
1108,18 Örebro county,19 years,61.4
1109,18 Örebro county,20 years,124.4
1110,18 Örebro county,21 years,140.9
1111,18 Örebro county,22 years,155.6
1112,18 Örebro county,23 years,181.4
1113,18 Örebro county,24 years,201.4
1114,18 Örebro county,25 years,219.6
1115,18 Örebro county,26 years,242.4
1116,18 Örebro county,27 years,259.5
1117,18 Örebro county,28 years,272.3
1118,18 Örebro county,29 years,279.4
1119,18 Örebro county,30 years,281.4
1120,18 Örebro county,31 years,290.0
1121,18 Örebro county,32 years,302.3
1122,18 Örebro county,33 years,300.6
1123,18 Örebro county,34 years,309.5
1124,18 Örebro county,35 years,318.3
1125,18 Örebro county,36 years,323.3
1126,18 Örebro county,37 years,338.1
1127,18 Örebro county,38 years,348.4
1128,18 Örebro county,39 years,348.2
1129,18 Örebro county,40 years,359.2
1130,18 Örebro county,41 years,360.4
1131,18 Örebro county,42 years,373.3
1132,18 Örebro county,43 years,379.0
1133,18 Örebro county,44 years,396.3
1134,18 Örebro county,45 years,390.8
1135,18 Örebro county,46 years,394.4
1136,18 Örebro county,47 years,399.5
1137,18 Örebro county,48 years,404.1
1138,18 Örebro county,49 years,406.3
1139,18 Örebro county,50 years,392.5
1140,18 Örebro county,51 years,395.3
1141,18 Örebro county,52 years,397.6
1142,18 Örebro county,53 years,400.3
1143,18 Örebro county,54 years,400.0
1144,18 Örebro county,55 years,389.3
1145,18 Örebro county,56 years,386.4
1146,18 Örebro county,57 years,392.3
1147,18 Örebro county,58 years,370.4
1148,18 Örebro county,59 years,379.4
1149,18 Örebro county,60 years,368.4
1150,18 Örebro county,61 years,360.8
1151,18 Örebro county,62 years,360.6
1152,18 Örebro county,63 years,361.8
1153,18 Örebro county,64 years,344.6
1154,18 Örebro county,65 years,349.0
1155,18 Örebro county,66 years,337.5
1156,18 Örebro county,67 years,331.3
1157,18 Örebro county,68 years,310.1
1158,18 Örebro county,69 years,305.6
1159,18 Örebro county,70 years,278.1
1160,18 Örebro county,71 years,259.4
1161,18 Örebro county,72 years,248.6
1162,18 Örebro county,73 years,245.9
1163,18 Örebro county,74 years,242.2
1164,18 Örebro county,75 years,237.7
1165,18 Örebro county,76 years,229.6
1166,18 Örebro county,77 years,225.3
1167,18 Örebro county,78 years,229.6
1168,18 Örebro county,79 years,220.2
1169,18 Örebro county,80 years,212.2
1170,18 Örebro county,81 years,213.5
1171,18 Örebro county,82 years,216.1
1172,18 Örebro county,83 years,211.6
1173,18 Örebro county,84 years,214.2
1174,18 Örebro county,85 years,213.1
1175,18 Örebro county,86 years,202.8
1176,18 Örebro county,87 years,203.1
1177,18 Örebro county,88 years,201.1
1178,18 Örebro county,89 years,215.5
1179,18 Örebro county,90 years,212.6
1180,18 Örebro county,91 years,203.6
1181,18 Örebro county,92 years,197.1
1182,18 Örebro county,93 years,196.0
1183,18 Örebro county,94 years,191.5
1184,18 Örebro county,95 years,192.4
1185,18 Örebro county,96 years,182.5
1186,18 Örebro county,97 years,188.9
1187,18 Örebro county,98 years,171.4
1188,18 Örebro county,99 years,166.7
1189,18 Örebro county,100+ years,171.3
1190,19 Västmanland county,16 years,3.5
1191,19 Västmanland county,17 years,8.5
1192,19 Västmanland county,18 years,19.6
1193,19 Västmanland county,19 years,62.0
1194,19 Västmanland county,20 years,122.7
1195,19 Västmanland county,21 years,142.3
1196,19 Västmanland county,22 years,168.7
1197,19 Västmanland county,23 years,192.2
1198,19 Västmanland county,24 years,207.0
1199,19 Västmanland county,25 years,227.9
1200,19 Västmanland county,26 years,247.3
1201,19 Västmanland county,27 years,259.4
1202,19 Västmanland county,28 years,269.2
1203,19 Västmanland county,29 years,277.4
1204,19 Västmanland county,30 years,294.3
1205,19 Västmanland county,31 years,294.7
1206,19 Västmanland county,32 years,304.6
1207,19 Västmanland county,33 years,310.1
1208,19 Västmanland county,34 years,314.7
1209,19 Västmanland county,35 years,323.9
1210,19 Västmanland county,36 years,326.5
1211,19 Västmanland county,37 years,337.1
